domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.zeit.de,0.014127502867100364,0.17746650114754892,0.036309099320385695,0.09920952193232196,3677.0
www.stern.de,0.027823806458891796,0.26693241628698977,0.06660365440524478,0.13233934444512177,2578.0
www.focus.de,0.030882886916732192,0.2595083207479013,0.09239531809782094,0.14014162956112358,879.0
www.faz.net,0.03635040329323275,0.22079664633714344,0.0728950822361675,0.11619774849775268,774.0
www.bild.de,0.016204718870334013,0.2307177637316123,0.058242887793360974,0.11626321463055028,634.0
www.n-tv.de,0.03645953126989016,0.26728988930324654,0.0742930764178725,0.14297952266623823,613.0
www.sueddeutsche.de,0.06800829526152405,0.24129289469931572,0.0771441750131787,0.1484579140303406,542.0
www.tagesspiegel.de,0.04318603712671509,0.20009872129380102,0.07101717334768182,0.12269355063847893,531.0
www.morgenpost.de,0.024743526874882803,0.2071005981353089,0.04808238424057633,0.09045973600076715,531.0
www.welt.de,0.03561773497089031,0.22700585994398437,0.07125634990683534,0.11927153839990273,515.0
www.tagesschau.de,-0.014284137913640032,0.22259553835640422,0.08061289346246973,0.13765699347478755,472.0
www.diepresse.com,0.056441246706192355,0.2406754285638769,0.052537418046928915,0.12914054491950422,368.0
www.nzz.ch,0.03187277028075074,0.19696043861842874,0.07201217620598728,0.10870598093979023,307.0
orf.at,-0.00535925925925926,0.2540183062424932,0.07972169312169312,0.14670733960277263,225.0
taz.de,0.0146667339252085,0.21568158465905438,0.08297798403730607,0.12978627765630552,177.0
www.brigitte.de,0.11468769164862916,0.2521482215406718,0.04706225198412699,0.09961843508114487,160.0
www.kicker.de,0.08135384339811422,0.2504819961032659,0.03428431522181522,0.09239346796911772,144.0
www.spiegel.de,0.008839777646595824,0.20888398140032133,0.07743998425816608,0.11857603532594735,121.0
consent.google.com,-0.1875,0.40406304135857485,0.05253623188405797,0.15317029839027665,92.0
www.heise.de,0.07015343915343915,0.22300839067918823,0.08633068783068783,0.14261589177354866,90.0
stadt-bremerhaven.de,0.08420771756978652,0.23379671386289705,0.07518929027549717,0.15071015503040436,87.0
www.dw.com,0.009199279328589672,0.1979951602197683,0.10165800036489692,0.13698003363853542,87.0
www.golem.de,0.06222482048374904,0.08887792993398774,0.016203703703703703,0.04631922817209977,84.0
noe.orf.at,0.050587595532039974,0.20239243730812484,0.08278953556731335,0.12267683124483707,81.0
steiermark.orf.at,0.021452380952380952,0.21822636914818713,0.07523242630385488,0.11805592029716226,70.0
www.handelsblatt.com,0.02485936041083099,0.21817315085662217,0.08213702147525677,0.13541882138946554,68.0
www.telepolis.de,-0.004675213675213676,0.20158964074572663,0.0599023199023199,0.10519025224731497,65.0
ooe.orf.at,0.03803468801313629,0.2272151176579335,0.08306650246305419,0.13270192330450023,58.0
kaernten.orf.at,0.029373973727422002,0.19429913145600278,0.05901067323481116,0.09046935076952428,58.0
vorarlberg.orf.at,0.07409983291562239,0.2100620924252847,0.08419799498746867,0.13413063843004785,57.0
www.transfermarkt.de,0.07822945845004668,0.28635713960135756,0.04021241830065359,0.11667890925494524,51.0
